GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
553955.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.093,  3.670, 268.787,  0.000, -0.000,  0.001
553955.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.671, 268.788,  0.000, -0.000, -0.000
553955.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.669, 268.788,  0.000,  0.000,  0.000
553956.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.671, 268.789, -0.000, -0.001,  0.000
553956.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.670, 268.789,  0.000,  0.000, -0.000
553956.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.669, 268.791,  0.000, -0.000,  0.001
553956.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.670, 268.791, -0.000,  0.000,  0.001
553956.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.670, 268.792, -0.000, -0.001, -0.001
553957.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.666, 268.791, -0.000,  0.001,  0.001
553957.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.669, 268.790,  0.000, -0.000,  0.001
553957.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.667, 268.790,  0.000, -0.000, -0.002
553957.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.668, 268.789, -0.000, -0.001,  0.001
553957.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.669, 268.788, -0.000, -0.000,  0.001
553958.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.669, 268.788,  0.000, -0.000, -0.001
553958.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.668, 268.788,  0.000, -0.001, -0.000
553958.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.093,  3.669, 268.789, -0.001, -0.000,  0.001
553958.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.668, 268.790, -0.001, -0.001, -0.001
553958.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.668, 268.790, -0.001, -0.000, -0.000
553959.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.667, 268.790, -0.001, -0.000,  0.000
553959.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.668, 268.789, -0.001, -0.001, -0.001
553959.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.668, 268.791, -0.001,  0.001,  0.000
553959.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.669, 268.790, -0.001, -0.001,  0.001
553959.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.088,  3.668, 268.790, -0.002,  0.001,  0.001
553960.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.669, 268.791, -0.001,  0.000, -0.000
553960.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.667, 268.791, -0.000, -0.000, -0.000
553960.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.088,  3.667, 268.791, -0.001, -0.001,  0.001
553960.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.086,  3.669, 268.791, -0.000, -0.000, -0.000
553960.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.087,  3.667, 268.792, -0.000, -0.001,  0.000
553961.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.400, 3567867.761, 3652897.917,  0.084,  3.668, 268.791, -0.001, -0.000,  0.000
553961.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.087,  3.668, 268.791,  0.000, -0.001, -0.001
553961.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.087,  3.667, 268.791, -0.001, -0.001,  0.001
553961.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.669, 268.790, -0.000, -0.001,  0.000
553961.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.666, 268.791, -0.001, -0.002, -0.000
553962.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.086,  3.669, 268.792, -0.001, -0.000,  0.001
553962.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.668, 268.791,  0.000, -0.000, -0.000
553962.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.087,  3.669, 268.791, -0.001, -0.001,  0.001
553962.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.669, 268.789, -0.001,  0.000, -0.001
553962.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.088,  3.669, 268.790, -0.001, -0.001,  0.000
553963.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.668, 268.790, -0.001, -0.000,  0.000
553963.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.669, 268.790,  0.000, -0.002, -0.000
553963.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.669, 268.790, -0.000,  0.000,  0.001
553963.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.093,  3.671, 268.791, -0.001, -0.002,  0.000
553963.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.669, 268.789, -0.000, -0.001,  0.000
553964.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.096,  3.669, 268.790, -0.001, -0.000,  0.001
553964.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.099,  3.670, 268.789, -0.002, -0.002,  0.000
553964.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.094,  3.670, 268.790, -0.000,  0.000, -0.001
553964.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.101,  3.668, 268.789, -0.000, -0.001, -0.001
553964.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.101,  3.671, 268.790, -0.000, -0.000,  0.002
553965.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.106,  3.670, 268.787, -0.001,  0.001,  0.002
553965.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.672, 268.791, -0.003, -0.001,  0.002
553965.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.097,  3.668, 268.790,  0.001, -0.002, -0.001
553965.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.112,  3.667, 268.789, -0.001,  0.002,  0.000
553965.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.113,  3.664, 268.789,  0.001, -0.004, -0.000
553966.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.670, 268.793, -0.004,  0.002,  0.003
553966.2, 2323, 35.16530216, 136.88145861, 41.325, -3810234.402, 3567867.761, 3652897.917,  0.121,  3.670, 268.786,  0.000, -0.003, -0.001
553966.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.103,  3.664, 268.792, -0.001,  0.001, -0.000
553966.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.115,  3.668, 268.791, -0.001, -0.000, -0.001
553966.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.108,  3.671, 268.787,  0.001, -0.004,  0.001
553967.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.098,  3.668, 268.788, -0.000,  0.003,  0.000
553967.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.110,  3.671, 268.792, -0.001,  0.000, -0.001
553967.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.104,  3.670, 268.790,  0.001, -0.003, -0.000
553967.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.101,  3.674, 268.786, -0.001, -0.001,  0.002
553967.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.105,  3.673, 268.790,  0.001,  0.001, -0.001
553968.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.103,  3.670, 268.791,  0.000, -0.001, -0.000
553968.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.107,  3.671, 268.786,  0.000, -0.001,  0.001
553968.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.093,  3.672, 268.790, -0.001,  0.001, -0.001
553968.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.674, 268.790,  0.001,  0.001,  0.001
553968.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.675, 268.786,  0.000, -0.003,  0.000
553969.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.099,  3.675, 268.788,  0.001,  0.001, -0.002
553969.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.096,  3.677, 268.790,  0.001,  0.001,  0.002
553969.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.674, 268.786, -0.001, -0.003,  0.002
553969.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.673, 268.785,  0.001,  0.002, -0.002
553969.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.108,  3.671, 268.785, -0.001,  0.002,  0.003
553970.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.675, 268.789,  0.000, -0.003, -0.000
553970.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.106,  3.667, 268.787,  0.001,  0.004, -0.000
553970.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.108,  3.666, 268.786, -0.002, -0.003,  0.001
553970.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.107,  3.667, 268.786,  0.001,  0.003, -0.001
553970.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.105,  3.668, 268.789, -0.000, -0.001, -0.001
553971.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.103,  3.669, 268.787, -0.000,  0.002,  0.001
553971.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.105,  3.670, 268.788,  0.000, -0.001, -0.000
553971.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.092,  3.672, 268.789,  0.000,  0.002, -0.002
553971.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.108,  3.670, 268.787,  0.001, -0.001,  0.001
553971.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.089,  3.673, 268.786,  0.003, -0.000,  0.002
553972.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.670, 268.785, -0.000,  0.003,  0.001
553972.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.664, 268.787,  0.001, -0.001, -0.001
553972.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.099,  3.661, 268.786,  0.000,  0.001, -0.001
553972.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.102,  3.662, 268.783,  0.000, -0.002,  0.001
553972.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.096,  3.663, 268.785,  0.001,  0.001,  0.001
553973.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.108,  3.661, 268.785,  0.000,  0.000,  0.001
553973.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.106,  3.660, 268.784, -0.000, -0.003, -0.001
553973.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.103,  3.659, 268.785,  0.000,  0.001, -0.000
553973.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.107,  3.659, 268.784, -0.000, -0.002, -0.001
553973.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.103,  3.660, 268.785,  0.001, -0.000, -0.000
553974.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.109,  3.658, 268.785,  0.001,  0.001,  0.000
553974.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.105,  3.661, 268.785, -0.000, -0.002, -0.001
553974.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.101,  3.657, 268.788,  0.001,  0.002, -0.001
553974.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.106,  3.657, 268.785,  0.003, -0.002, -0.000
553974.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.091,  3.659, 268.788, -0.002,  0.002, -0.000
553975.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.100,  3.660, 268.786,  0.001, -0.000, -0.001
553975.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.090,  3.658, 268.786, -0.000, -0.000,  0.000
553975.4, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.094,  3.661, 268.787, -0.000,  0.001, -0.000
553975.6, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.093,  3.657, 268.788,  0.001, -0.001,  0.001
553975.8, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.098,  3.655, 268.788, -0.001,  0.002,  0.000
553976.0, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.104,  3.658, 268.788, -0.000, -0.001, -0.000
553976.2, 2323, 35.16530216, 136.88145861, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.097,  3.654, 268.787,  0.001,  0.001, -0.001
553976.4, 2323, 35.16530216, 136.88145860, 41.324, -3810234.400, 3567867.762, 3652897.917,  0.104,  3.657, 268.787, -0.002,  0.000,  0.001
553976.6, 2323, 35.16530216, 136.88145860, 41.324, -3810234.400, 3567867.762, 3652897.917,  0.099,  3.652, 268.787,  0.002, -0.001,  0.000
553976.8, 2323, 35.16530216, 136.88145862, 41.324, -3810234.401, 3567867.761, 3652897.917,  0.094,  3.648, 268.784,  0.024,  0.001,  0.002
553977.0, 2323, 35.16530217, 136.88145877, 41.323, -3810234.410, 3567867.750, 3652897.918,  0.097,  3.594, 268.781,  0.116,  0.003,  0.001
553977.2, 2323, 35.16530219, 136.88145913, 41.324, -3810234.432, 3567867.725, 3652897.919,  0.123,  3.571, 268.775,  0.188,  0.005, -0.013
553977.4, 2323, 35.16530218, 136.88145951, 41.322, -3810234.455, 3567867.700, 3652897.918,  0.135,  3.614, 268.760,  0.157,  0.005, -0.005
553977.6, 2323, 35.16530218, 136.88145982, 41.322, -3810234.474, 3567867.679, 3652897.918,  0.120,  3.607, 268.747,  0.129,  0.001, -0.000
553977.8, 2323, 35.16530220, 136.88146012, 41.321, -3810234.492, 3567867.657, 3652897.919,  0.101,  3.566, 268.733,  0.169,  0.004, -0.001
553978.0, 2323, 35.16530220, 136.88146057, 41.321, -3810234.520, 3567867.628, 3652897.919,  0.104,  3.560, 268.713,  0.243,  0.005, -0.005
553978.2, 2323, 35.16530219, 136.88146116, 41.319, -3810234.555, 3567867.588, 3652897.917,  0.084,  3.618, 268.671,  0.267,  0.002, -0.020
553978.4, 2323, 35.16530217, 136.88146168, 41.316, -3810234.587, 3567867.552, 3652897.914,  0.039,  3.683, 268.627,  0.226,  0.007, -0.004
553978.6, 2323, 35.16530217, 136.88146215, 41.315, -3810234.615, 3567867.521, 3652897.913, -0.002,  3.683, 268.569,  0.232,  0.003,  0.002
553978.8, 2323, 35.16530218, 136.88146275, 41.316, -3810234.653, 3567867.481, 3652897.914,  0.001,  3.625, 268.484,  0.333,  0.010, -0.004
553979.0, 2323, 35.16530216, 136.88146360, 41.315, -3810234.706, 3567867.425, 3652897.912,  0.040,  3.650, 268.319,  0.436,  0.013, -0.015
553979.2, 2323, 35.16530212, 136.88146463, 41.311, -3810234.770, 3567867.356, 3652897.906,  0.017,  3.703, 268.029,  0.526,  0.013, -0.019
553979.4, 2323, 35.16530202, 136.88146581, 41.307, -3810234.845, 3567867.279, 3652897.895, -0.016,  3.788, 267.518,  0.581,  0.023, -0.027
553979.6, 2323, 35.16530191, 136.88146699, 41.299, -3810234.919, 3567867.201, 3652897.880, -0.165,  3.922, 266.896,  0.571,  0.024, -0.026
553979.8, 2323, 35.16530180, 136.88146814, 41.293, -3810234.993, 3567867.126, 3652897.866, -0.213,  4.016, 266.211,  0.527,  0.036, -0.025
553980.0, 2323, 35.16530170, 136.88146916, 41.287, -3810235.057, 3567867.059, 3652897.854, -0.258,  4.080, 265.472,  0.460,  0.033, -0.019
553980.2, 2323, 35.16530158, 136.88147006, 41.281, -3810235.115, 3567867.001, 3652897.840, -0.345,  4.086, 264.628,  0.439,  0.039, -0.009
553980.4, 2323, 35.16530146, 136.88147102, 41.276, -3810235.178, 3567866.940, 3652897.826, -0.435,  4.039, 263.584,  0.522,  0.049, -0.013
553980.6, 2323, 35.16530130, 136.88147214, 41.271, -3810235.252, 3567866.870, 3652897.808, -0.444,  4.064, 262.284,  0.568,  0.085, -0.017
553980.8, 2323, 35.16530113, 136.88147335, 41.267, -3810235.333, 3567866.794, 3652897.791, -0.484,  4.027, 260.724,  0.608,  0.088, -0.004
553981.0, 2323, 35.16530098, 136.88147460, 41.263, -3810235.416, 3567866.716, 3652897.775, -0.566,  3.968, 259.051,  0.624,  0.125,  0.009
553981.2, 2323, 35.16530084, 136.88147591, 41.264, -3810235.504, 3567866.635, 3652897.763, -0.523,  3.873, 257.180,  0.623,  0.140,  0.004
553981.4, 2323, 35.16530074, 136.88147722, 41.264, -3810235.590, 3567866.552, 3652897.754, -0.564,  3.736, 255.337,  0.633,  0.164,  0.021
553981.6, 2323, 35.16530068, 136.88147860, 41.266, -3810235.680, 3567866.464, 3652897.750, -0.530,  3.593, 253.356,  0.650,  0.208,  0.001
553981.8, 2323, 35.16530065, 136.88148002, 41.264, -3810235.769, 3567866.370, 3652897.745, -0.549,  3.484, 251.324,  0.674,  0.214,  0.014
553982.0, 2323, 35.16530066, 136.88148147, 41.263, -3810235.858, 3567866.273, 3652897.746, -0.644,  3.332, 249.245,  0.656,  0.253,  0.013
553982.2, 2323, 35.16530069, 136.88148281, 41.261, -3810235.939, 3567866.180, 3652897.748, -0.766,  3.238, 247.343,  0.569,  0.226,  0.004
553982.4, 2323, 35.16530076, 136.88148394, 41.261, -3810236.005, 3567866.102, 3652897.754, -0.776,  3.140, 245.738,  0.438,  0.208,  0.005
553982.6, 2323, 35.16530084, 136.88148479, 41.260, -3810236.055, 3567866.042, 3652897.760, -0.786,  3.071, 244.526,  0.316,  0.142,  0.002
553982.8, 2323, 35.16530089, 136.88148536, 41.262, -3810236.089, 3567866.003, 3652897.766, -0.770,  3.013, 243.701,  0.181,  0.098,  0.004
553983.0, 2323, 35.16530092, 136.88148568, 41.263, -3810236.108, 3567865.981, 3652897.769, -0.754,  2.972, 243.279,  0.082,  0.036,  0.004
553983.2, 2323, 35.16530093, 136.88148576, 41.265, -3810236.114, 3567865.977, 3652897.772, -0.717,  2.953, 243.136, -0.016, -0.004,  0.001
553983.4, 2323, 35.16530092, 136.88148577, 41.272, -3810236.119, 3567865.980, 3652897.775, -0.510,  2.924, 243.136, -0.003,  0.019, -0.001
553983.6, 2323, 35.16530093, 136.88148579, 41.272, -3810236.120, 3567865.979, 3652897.775, -0.439,  2.941, 243.126, -0.004, -0.008,  0.001
553983.8, 2323, 35.16530091, 136.88148578, 41.274, -3810236.121, 3567865.981, 3652897.775, -0.434,  2.930, 243.052,  0.002, -0.003, -0.003
553984.0, 2323, 35.16530091, 136.88148578, 41.274, -3810236.121, 3567865.981, 3652897.774, -0.415,  2.955, 243.056, -0.018,  0.010, -0.005
553984.2, 2323, 35.16530088, 136.88148570, 41.274, -3810236.118, 3567865.987, 3652897.773, -0.331,  3.003, 243.094, -0.066, -0.040, -0.008
553984.4, 2323, 35.16530081, 136.88148546, 41.274, -3810236.106, 3567866.007, 3652897.766, -0.350,  3.053, 243.259, -0.153, -0.076, -0.003
553984.6, 2323, 35.16530067, 136.88148503, 41.275, -3810236.086, 3567866.042, 3652897.754, -0.316,  3.109, 243.462, -0.248, -0.117, -0.007
